SA1_CODE_2021,Median_age_persons,Med_mort_repaymnt_monthly,Med_tot_psnl_incom_weekly,Median_rent_weekly,Med_tot_family_inc_weekly,Avge_numbr_prsons_per_bedroom,Med_tot_hh_incom_weekly,Average_household_size
31003128908,45,1980,875,440,2394,0.7,2214,2.7
31003128909,42,1718,858,390,2383,0.7,2031,2.8
31003128910,39,1924,1015,398,2542,0.8,2359,2.9
31003128911,38,1731,889,400,2273,0.8,2193,3.1
31003128912,45,1798,1012,485,2363,0.7,2100,2.6
31003129001,41,1593,862,390,2154,0.8,1983,2.7
31003129002,40,1649,907,370,2161,0.7,1946,2.7
31003129003,42,2000,890,310,2457,0.7,2408,2.8
31003129004,42,2000,1055,460,3150,0.8,3045,3
31003129005,38,1625,900,425,2265,0.7,2081,2.8
31003129006,40,2167,964,495,3071,0.8,2902,3.2
31003129007,43,2167,1037,380,3020,0.7,2687,2.9
31003129008,38,1800,896,445,2431,0.8,2166,3
31003129009,39,1863,915,400,2326,0.7,2178,2.8
31003129010,41,1723,941,270,2874,0.9,2535,3.1
31003129011,46,2000,841,323,2343,0.8,2283,2.7
31003129012,40,1975,945,330,2305,0.7,2136,2.8
31003129013,45,2053,1108,480,2802,0.7,2631,2.8
31003129014,42,1800,1049,445,2750,0.8,2678,3
31003129015,45,2167,1111,588,3444,0.7,3333,3.1
31003129102,30,1083,502,270,1125,0.8,992,2.6
31003129103,39,1133,540,265,1116,0.7,953,2.1
31003129104,38,1083,575,280,1361,0.8,1100,2.3
31003129105,36,1222,540,280,1600,0.8,1307,2.6
31003129106,39,1207,555,275,1346,0.7,1190,2.3
31003129108,38,1898,853,400,1687,0.8,1875,2.9
31003129109,41,1550,938,300,2295,0.8,2038,2.8
31003129110,28,1272,754,330,1708,0.8,1658,3
31003129111,38,1200,616,300,1312,0.7,1208,2.5
31003129112,35,983,448,260,1036,0.8,861,2.4
31003129113,28,1481,811,340,1864,0.8,1520,2.7
31003129114,31,1213,614,325,1462,0.9,1427,3
31003129115,40,1200,590,280,1446,0.7,1097,2.4
31003129116,40,1083,520,260,1406,0.9,1096,2.4
31003129117,24,0,575,0,1375,0.5,1874,3
31003129118,30,1183,477,250,1025,0.8,981,2.7
31003129119,28,1287,643,286,1125,0.8,949,2.3
31003129120,0,0,0,0,0,0,0,0
31003129121,28,1300,590,275,1112,0.8,1023,2.4
31003129122,26,1582,746,350,1494,0.8,1495,3.2
31003129201,46,1300,571,245,1487,0.9,1125,2.2
31003129202,35,520,649,220,0,0.5,900,1
31003129203,37,1180,895,250,2646,0.7,1906,2.2
31003129204,35,1387,736,300,1875,0.8,1375,2.4
31003129205,38,1300,823,320,1875,0.7,1463,2.4
31003129206,70,1218,461,288,1125,0.8,966,2.5
31003129207,38,1572,627,305,1553,0.8,1437,2.6
31003129208,37,1300,817,260,2050,0.8,1562,2.6
31003129209,36,1300,714,295,1702,0.7,1514,2.4
31003129210,43,1268,699,300,1512,0.7,1375,2.4
31003129211,38,1257,668,293,1640,0.8,1375,2.3
31003129212,36,1127,548,275,1421,0.8,989,2.4
31003129213,35,1300,822,320,1671,0.7,1514,2.4
31003129214,41,1213,572,250,1542,0.8,1044,2.1
31003129215,41,1443,847,295,2068,0.7,1602,2.4
31003129216,35,1517,784,320,1942,0.8,1875,2.8
31003129217,35,1200,734,300,2022,0.8,1449,2.4
31003129218,43,1300,765,300,1863,0.7,1375,2.1
31003129219,65,1300,559,225,1185,0.8,826,1.9
31003129220,39,1300,654,295,1649,0.8,1420,2.3
31003129301,41,1407,744,330,1952,0.7,1805,2.5
31003129302,24,1825,1157,260,2324,0.9,2324,3.8
31003129303,35,1322,762,313,1821,0.7,1653,2.7
31003129304,45,1625,894,273,1988,0.7,2016,2.7
31003129305,42,1787,956,378,2591,0.7,2307,2.9
31003129306,43,1876,885,325,2650,0.8,2633,3.2
31003129307,27,1448,756,345,1827,0.8,1732,3.2
31003129308,39,1343,647,320,1614,0.7,1423,2.6
31003129309,42,1300,626,315,1537,0.8,1187,2.3
31003129310,41,1200,658,280,1288,0.7,1042,2.1
31003129311,36,1430,703,310,1778,0.7,1272,2.4
31003129312,35,1300,906,255,2269,0.8,1875,2.6
31003129313,31,1493,790,348,2125,0.7,1850,2.9
31003129314,40,1430,810,330,1761,0.7,1638,2.6
31003129315,33,1625,969,345,2326,0.7,2102,2.9
31003129316,40,1907,977,420,2987,0.8,3015,3.2
31003129317,44,1408,670,230,1875,0.9,1137,2.4
31003129318,42,1517,780,330,2018,0.8,1662,2.7
31003129319,64,2600,425,0,1125,1,1874,2.5
31003129320,41,1257,685,320,1656,0.7,1375,2.4
31003129321,44,1300,593,268,1437,0.7,1132,2.4
31003129322,46,1320,806,325,1446,0.7,1361,2.5
31003129323,44,1358,653,300,1442,0.7,1258,2.5
31003129324,50,1436,720,335,1797,0.7,1579,2.7
31003129325,42,1533,764,320,2136,0.7,1678,2.6
31003129326,47,1387,743,350,1854,0.6,1542,2.5
31003129327,38,1450,766,350,2045,0.8,1906,2.6
31003129328,33,1645,929,350,1980,0.7,1908,2.9
31003129329,28,1202,808,303,1492,0.9,1323,2.5
31003129331,33,0,449,290,2249,0.8,1375,3
31003129332,36,1300,858,320,2204,0.8,2031,2.8
31003129333,38,1300,704,300,1843,0.8,1409,2.6
31003129334,30,1257,711,300,1625,0.8,1375,2.6
31003129335,36,1408,718,315,1850,0.8,1350,2.6
31003129337,31,1250,664,350,1462,0.7,1431,2.8
31003129338,27,1408,766,350,1578,0.8,1617,3.3
31003129339,55,700,545,283,1278,0.8,626,1.6
31003129340,32,1403,780,350,1761,0.7,1641,2.9
31003129341,28,1300,704,350,1591,0.8,1583,3.2
31003129401,39,1517,805,340,2118,0.8,1902,2.8
31003129402,39,1560,791,335,2047,0.7,2037,2.7
31003129403,37,1400,803,275,1930,0.8,1702,2.5
31003129406,38,2167,963,590,2980,0.8,2976,3.4
31003129407,40,1950,1092,540,3150,0.8,3107,3.5
31003129408,33,2167,1132,340,2779,0.8,2661,3.3
31003129409,40,0,949,0,0,1,1375,1.5
31003129410,26,1921,1060,400,2210,0.8,2058,2.9
31003129411,28,1608,1043,370,2223,0.8,2042,2.8
31003129412,26,1850,1060,370,2329,0.7,2178,2.7
31003129413,28,2600,1187,360,2856,0.7,2424,3
31003129414,26,1900,1072,400,2242,0.7,2061,2.8
31003129415,25,1850,946,385,1913,0.7,1768,2.8
31003129416,28,1600,1080,380,2144,0.7,1984,2.5
31003129417,31,1895,1202,410,2660,0.7,2440,3
31003129418,39,1608,829,435,1875,0.8,1875,3.2
31003129419,27,1997,1174,400,2267,0.8,2312,3.3
31003129420,28,1520,1052,375,1891,0.7,1625,2.3
31003129421,26,2157,1117,380,2297,0.7,2091,2.8
31003129422,26,1534,1073,370,2097,0.7,1958,2.7
31003129423,29,1800,1099,395,2434,0.8,2239,3.1
31003129424,28,1799,1057,380,2279,0.8,2088,3
31003129425,26,1840,1125,385,2343,0.9,2305,3.4
31003129426,30,1555,1087,360,2191,0.7,1937,2.6
31003129427,29,1907,1139,410,2506,0.7,2374,2.8
31003129428,37,2438,737,480,1687,0.7,1542,3.1
31003129429,30,1647,1009,370,2169,0.7,1830,2.7
