route_id	service_id	trip_id	trip_headsign	direction_id	block_id	shape_id
381-3396	BT 23_24-35208	26581464-BT 23_24-35208	"Spring Hill, Wickham Tce"	0		3810009
303-3396	BT 23_24-35208	26581465-BT 23_24-35208	Pinkenba Primary	0		3030031
306-3396	BT 23_24-35208	26581466-BT 23_24-35208	Cultural Centre station	0		3060066
345-3396	BT 23_24-35208	26581467-BT 23_24-35208	Cultural Centre station	0		3450012
196-3396	BT 23_24-35208	26581468-BT 23_24-35208	"New Farm, Mountford Rd"	0		1960035
379-3396	BT 23_24-35208	26581469-BT 23_24-35208	"Grange, Thomas St"	0		3790040
175-3396	BT 23_24-35208	26581470-BT 23_24-35208	"Fortitude Valley, Warner St"	0		1750008
375-3396	BT 23_24-35208	26581471-BT 23_24-35208	Stafford City	1		3750011
360-3396	BT 23_24-35208	26581472-BT 23_24-35208	"City, Queen St"	0		3600019
444-3396	BT 23_24-35208	26581473-BT 23_24-35208	Queensland Theatre	0		4440024
100-3396	BT 23_24-35208	26581474-BT 23_24-35208	Queen Street station	0		1000009
396-3396	BT 23_24-35208	26581475-BT 23_24-35208	Mitchelton station	0		3960003
111-3396	BT 23_24-35208	26581476-BT 23_24-35208	Eight Mile Plains station	1		1110007
175-3396	BT 23_24-35208	26581477-BT 23_24-35208	Garden City interchange	1		1750012
120-3396	BT 23_24-35208	26581478-BT 23_24-35208	Queen Street station	0		1200005
467-3396	BT 23_24-35208	26581479-BT 23_24-35208	Mt Ommaney Shopping Centre	0		4670039
379-3396	BT 23_24-35208	26581480-BT 23_24-35208	"Ashgrove, Royal Pde"	1		3790043
306-3396	BT 23_24-35208	26581481-BT 23_24-35208	Cultural Centre station	0		3060069
357-3396	BT 23_24-35208	26581482-BT 23_24-35208	"City, Queen St"	0		3570009
385-3396	BT 23_24-35208	26581483-BT 23_24-35208	Cultural Centre station	0		3850017
61-3396	BT 23_24-35208	26581484-BT 23_24-35208	Coorparoo Junction	0		610016
412-3396	BT 23_24-35208	26581485-BT 23_24-35208	"City, Roma St"	0		4120001
390-3396	BT 23_24-35208	26581486-BT 23_24-35208	Brookside Shopping Centre	1		3900008
222-3396	BT 23_24-35208	26581487-BT 23_24-35208	Roma Street station	0		2220003
117-3396	BT 23_24-35208	26581488-BT 23_24-35208	Woolloongabba station	0		1170001
301-3396	BT 23_24-35208	26581489-BT 23_24-35208	Cultural Centre station	0		3010004
598-3396	BT 23_24-35208	26581490-BT 23_24-35208	Garden City interchange	1		5980009
180-3396	BT 23_24-35208	26581491-BT 23_24-35208	Queen Street station	0		1800002
