,o_lat,o_lon,frequency,Median_age_persons,Med_mort_repaymnt_monthly,Median_rent_weekly,Med_tot_hh_incom_weekly,Average_household_size,quantity_class
167,-27.427003,153.024597,132.0,37.0,3000.0,390.0,3225.0,2.9,Medium
168,-27.427155,153.022621,132.0,38.0,3467.0,470.0,3886.0,2.9,Very Low
169,-27.427059,153.022868,132.0,37.0,3000.0,390.0,3225.0,2.9,High
170,-27.426909,153.020851,132.0,38.0,3467.0,470.0,3886.0,2.9,Very Low
171,-27.426819,153.021097,132.0,36.0,2700.0,350.0,3274.0,3.0,Low
172,-27.426688,153.019467,132.0,38.0,3467.0,470.0,3886.0,2.9,Very Low
173,-27.4266,153.019722,132.0,36.0,2700.0,350.0,3274.0,3.0,Medium
174,-27.426444,153.017759,174.0,36.0,2400.0,480.0,3281.0,2.9,Very Low
175,-27.426264,153.017302,180.0,36.0,2700.0,350.0,3274.0,3.0,Medium
176,-27.426568,153.029051,132.0,33.0,2500.0,382.0,2304.0,2.5,Medium
177,-27.426723,153.0297,132.0,33.0,2500.0,382.0,2304.0,2.5,Very Low
178,-27.426532,153.030607,132.0,33.0,2500.0,382.0,2304.0,2.5,Medium
179,-27.427749,153.018913,48.0,38.0,3467.0,470.0,3886.0,2.9,Medium
180,-27.427618,153.018793,42.0,36.0,2400.0,480.0,3281.0,2.9,Very Low
181,-27.431816,153.019473,154.0,37.0,2300.0,370.0,2791.0,2.4,High
182,-27.434956,153.022431,42.0,34.0,2384.0,438.0,2312.0,2.4,Very Low
183,-27.435068,153.022797,48.0,34.0,2383.0,345.0,2062.0,2.2,Medium
184,-27.433888,153.021057,42.0,34.0,2384.0,438.0,2312.0,2.4,Very Low
185,-27.433753,153.021098,48.0,34.0,2383.0,345.0,2062.0,2.2,Low
186,-27.43268,153.019904,154.0,34.0,2384.0,438.0,2312.0,2.4,Medium
187,-27.397857,153.058614,42.0,34.0,1327.0,350.0,1554.0,1.8,Very Low
188,-27.430588,153.018386,42.0,34.0,3038.0,385.0,2294.0,2.5,Very Low
189,-27.429912,153.018504,48.0,38.0,3467.0,470.0,3886.0,2.9,Low
190,-27.432729,153.017527,73.0,36.0,2167.0,455.0,2888.0,2.6,Very Low
191,-27.433148,153.017594,73.0,36.0,2167.0,455.0,2888.0,2.6,Medium
192,-27.434903,153.017133,73.0,36.0,2167.0,455.0,2888.0,2.6,Low
193,-27.435621,153.017151,73.0,36.0,2167.0,455.0,2888.0,2.6,Low
194,-27.43117,153.031759,769.0,36.0,2549.0,355.0,2360.0,2.8,High
195,-27.433018,153.032041,742.0,33.0,2200.0,380.0,2018.0,2.2,High
196,-27.435617,153.031572,1747.0,30.0,1517.0,420.0,2088.0,1.9,High
197,-27.434761,153.03153,1754.0,32.0,1746.0,360.0,2033.0,2.0,High
198,-27.442222,153.028237,121.0,32.0,2500.0,430.0,2187.0,2.2,Medium
199,-27.442329,153.028248,115.0,32.0,2500.0,430.0,2187.0,2.2,Low
200,-27.436725,153.021869,73.0,36.0,2921.0,500.0,3392.0,3.2,Low
201,-27.441158,153.025494,115.0,32.0,2500.0,430.0,2187.0,2.2,Very Low
202,-27.439668,153.026226,115.0,32.0,2500.0,430.0,2187.0,2.2,Very Low
203,-27.439605,153.026416,121.0,32.0,2500.0,430.0,2187.0,2.2,Medium
204,-27.438009,153.026962,115.0,32.0,2500.0,430.0,2187.0,2.2,Low
205,-27.438047,153.027101,121.0,32.0,2500.0,430.0,2187.0,2.2,Low
206,-27.437266,153.024783,227.0,32.0,2500.0,430.0,2187.0,2.2,Medium
207,-27.437055,153.024631,227.0,32.0,1746.0,360.0,2033.0,2.0,High
208,-27.436936,153.022453,73.0,36.0,2921.0,500.0,3392.0,3.2,Low
209,-27.436363,153.018324,73.0,38.0,2742.0,340.0,2687.0,2.6,Low
210,-27.436344,153.019187,73.0,38.0,2742.0,340.0,2687.0,2.6,Low
211,-27.439183,153.030747,769.0,32.0,2500.0,430.0,2187.0,2.2,Medium
212,-27.437317,153.031058,769.0,32.0,1746.0,360.0,2033.0,2.0,High
213,-27.438477,153.03106,742.0,28.0,2000.0,450.0,2225.0,2.0,High
214,-27.445055,153.022567,142.0,43.0,2300.0,388.0,2315.0,2.3,Low
215,-27.444926,153.022582,143.0,43.0,2300.0,388.0,2315.0,2.3,High
216,-27.44519,153.02089,142.0,29.0,2600.0,476.0,2208.0,2.5,Low
217,-27.444783,153.020471,143.0,33.0,2167.0,430.0,2399.0,2.5,High
218,-27.444683,153.019238,142.0,33.0,2167.0,430.0,2399.0,2.5,Low
219,-27.444531,153.018548,143.0,33.0,2167.0,430.0,2399.0,2.5,Medium
220,-27.445724,153.023007,131.0,43.0,2300.0,388.0,2315.0,2.3,Low
221,-27.446212,153.022918,130.0,29.0,2600.0,476.0,2208.0,2.5,Low
222,-27.44708,153.02387,131.0,43.0,2300.0,388.0,2315.0,2.3,Low
223,-27.447165,153.023749,130.0,43.0,2300.0,388.0,2315.0,2.3,Very Low
224,-27.44785,153.024563,131.0,43.0,2300.0,388.0,2315.0,2.3,Medium
225,-27.447932,153.024447,130.0,43.0,2300.0,388.0,2315.0,2.3,Medium
226,-27.319609,153.042865,441.0,32.0,1729.0,200.0,1297.0,2.6,High
227,-27.319484,153.042891,473.0,32.0,1729.0,200.0,1297.0,2.6,Very Low
228,-27.320839,153.048455,484.0,50.0,1950.0,453.0,881.0,2.0,Medium
