,stop_id,frequency
855,5476,39
856,4247,39
857,5385,39
858,5384,39
859,11325,39
860,11291,39
861,10712,39
862,5382,39
863,5377,39
864,11324,39
865,4245,39
866,11321,39
867,5374,39
868,10630,39
869,10631,39
870,5367,39
871,11320,39
872,11290,39
873,11319,39
874,19907,39
875,51712,39
876,1428,39
877,1427,39
878,1426,39
879,1425,39
880,2444,39
881,2445,39
882,5481,39
883,51713,39
884,4258,39
885,10453,39
886,2652,39
887,4263,39
888,4252,39
889,5483,39
890,10422,39
891,5482,39
892,4250,39
893,4249,39
894,10511,39
895,1429,39
896,5365,41
897,1019,41
898,5366,41
899,5363,41
900,1624,41
901,2952,41
902,2935,41
903,2948,41
904,2949,41
905,2950,41
906,5362,41
907,2953,41
908,2954,41
909,2955,41
910,1616,41
911,5344,41
912,5337,41
913,5336,41
914,2040,41
915,1619,41
916,2039,41
917,5339,41
918,5353,41
919,5361,41
920,5351,41
921,5360,41
922,5352,41
923,10400,41
924,5359,41
925,1621,41
926,5354,41
927,4301,42
928,2272,42
929,4211,42
930,4795,42
931,2275,42
932,2281,42
933,2298,42
934,2306,42
935,2305,42
936,2387,42
937,3921,42
938,4793,42
939,11318,42
940,2303,42
941,4785,42
942,4155,42
943,2308,42
944,2311,42
945,11317,42
946,3917,42
947,4792,42
948,4465,42
949,4784,42
950,3028,42
951,3027,42
952,3024,42
953,5333,42
954,3927,42
955,3022,42
956,3021,42
957,4306,42
958,3491,42
959,3016,42
960,4783,42
961,4796,42
962,2977,42
963,3922,42
964,4045,42
965,4801,42
966,4790,42
967,4800,42
968,4797,42
969,11308,42
970,11364,42
971,2239,42
972,2636,42
973,4802,42
974,3915,42
975,4786,42
976,2292,42
977,10606,42
978,448,42
979,11303,42
980,10944,42
981,450,42
982,10524,42
983,236,42
984,573,42
985,10501,42
986,456,42
987,455,42
988,11000,42
989,11069,42
990,11202,42
991,51702,42
992,10512,42
993,10062,42
994,10604,42
995,10943,42
996,446,42
997,10946,42
998,11302,42
999,10941,42
1000,11066,42
1001,11306,42
1002,11305,42
1003,10945,42
1004,1639,42
1005,10286,42
1006,10334,42
1007,10130,42
1008,10942,42
1009,20040,42
1010,10986,42
1011,1454,43
1012,1452,43
1013,1272,44
1014,721,44
1015,13069,44
1016,5447,44
1017,1240,44
1018,5446,44
1019,6167,44
1020,6555,44
1021,13091,44
1022,6169,44
1023,13092,44
1024,6183,44
1025,6185,44
1026,6187,44
1027,6189,44
1028,6193,44
1029,1281,44
1030,6552,44
1031,5699,44
1032,6550,44
1033,6554,44
1034,6181,44
1035,13067,44
1036,6179,44
1037,5233,44
1038,13068,44
1039,6175,44
1040,6174,44
1041,10405,44
1042,6551,44
1043,720,44
1044,6177,44
1045,13070,44
1046,6063,44
1047,10404,44
1048,5364,44
1049,6092,44
1050,4962,44
1051,6094,44
1052,10109,44
1053,10111,44
1054,10113,44
1055,6147,44
1056,6123,44
1057,1667,44
1058,10115,44
1059,10891,44
1060,6139,44
1061,6141,44
1062,10327,44
1063,10117,44
1064,6143,44
1065,4951,44
1066,10328,44
1067,6145,44
1068,10121,44
1069,6149,44
1070,6083,44
1071,6151,44
1072,6081,44
1073,6165,44
1074,5716,44
1075,10096,44
1076,6156,44
1077,6070,44
1078,6072,44
1079,6066,44
1080,5620,44
1081,14039,44
1082,1267,44
1083,1278,44
1084,13056,44
1085,1265,44
1086,6079,44
1087,1257,44
1088,6073,44
1089,10276,45
1090,1511,45
1091,10279,45
1092,1533,45
1093,711,45
1094,276,45
1095,10046,45
1096,10281,45
1097,12091,45
1098,2243,45
1099,10397,45
1100,1513,45
1101,96,45
1102,10045,45
1103,11142,45
1104,3269,46
1105,1981,46
1106,3152,46
1107,3325,46
1108,4206,46
1109,10608,46
1110,10618,46
1111,10250,46
1112,3300,46
1113,3522,46
1114,3302,46
1115,3835,46
1116,3304,46
1117,3317,46
1118,10620,46
1119,1455,46
1120,4208,46
1121,1453,46
1122,4210,46
1123,10249,46
1124,3158,46
1125,3165,46
1126,3164,46
1127,3154,46
1128,3162,46
1129,3160,46
1130,10622,46
1131,10613,46
1132,3156,46
1133,10680,46
1134,5234,47
1135,11280,48
1136,5689,48
1137,5686,48
1138,3916,48
1139,5718,48
1140,5721,48
1141,5720,48
1142,5719,48
1143,5688,48
1144,5687,48
1145,5695,48
1146,3025,48
1147,5207,48
1148,5696,48
1149,5698,48
1150,5694,48
1151,3924,48
1152,4712,48
1153,5693,48
1154,5692,48
1155,5690,48
1156,5691,48
1157,5206,48
1158,3029,48
1159,3023,48
1160,3923,48
1161,11282,48
1162,5706,48
1163,3920,48
1164,5705,48
1165,5722,48
1166,5742,48
1167,3020,48
1168,5187,48
1169,2279,48
1170,2280,48
1171,449,48
1172,451,48
1173,4310,48
1174,2386,48
1175,5746,48
1176,5747,48
